A,B
2.405235E+02, 6.805178E-04
2.405234E+02, 7.160364E-04
2.405234E+02, 7.512464E-04
2.405234E+02, 7.861363E-04
2.405234E+02, 8.206951E-04
2.405234E+02, 8.549119E-04
2.405234E+02, 8.887759E-04
2.405234E+02, 9.222770E-04
2.405234E+02, 9.554052E-04
2.405234E+02, 9.881513E-04
2.405234E+02, 1.020507E-03
2.405234E+02, 1.052463E-03
2.405234E+02, 1.084012E-03
2.405234E+02, 1.115147E-03
2.405234E+02, 1.145863E-03
2.405234E+02, 1.176152E-03
2.405234E+02, 1.206011E-03
2.405235E+02, 1.235435E-03
2.405235E+02, 1.264419E-03
2.405235E+02, 1.292962E-03
2.405235E+02, 1.321060E-03
2.405235E+02, 1.348711E-03
2.405235E+02, 1.375913E-03
2.405235E+02, 1.402665E-03
2.405235E+02, 1.428966E-03
2.405235E+02, 1.454816E-03
2.405235E+02, 1.480214E-03
2.405235E+02, 1.505161E-03
2.405235E+02, 1.529655E-03
2.405235E+02, 1.553697E-03
2.405235E+02, 1.577287E-03
2.405235E+02, 1.600425E-03
2.405235E+02, 1.623111E-03
2.405235E+02, 1.645344E-03
2.405235E+02, 1.667126E-03
2.405235E+02, 1.688454E-03
2.405236E+02, 1.709329E-03
2.405236E+02, 1.729749E-03
2.405236E+02, 1.749713E-03
2.405236E+02, 1.769219E-03
2.405236E+02, 1.788267E-03
2.405236E+02, 1.806854E-03
2.405236E+02, 1.824977E-03
2.405236E+02, 1.842635E-03
2.405236E+02, 1.859824E-03
2.405236E+02, 1.876542E-03
2.405236E+02, 1.892785E-03
2.405236E+02, 1.908550E-03
2.405236E+02, 1.923835E-03
2.405236E+02, 1.938634E-03
2.405236E+02, 1.952946E-03
2.405236E+02, 1.966765E-03
2.405236E+02, 1.980089E-03
2.405236E+02, 1.992914E-03
2.405236E+02, 2.005236E-03
2.405236E+02, 2.017052E-03
2.405236E+02, 2.028358E-03
2.405236E+02, 2.039151E-03
2.405236E+02, 2.049429E-03
2.405236E+02, 2.059188E-03
2.405236E+02, 2.068426E-03
2.405236E+02, 2.077140E-03
2.405236E+02, 2.085328E-03
2.405236E+02, 2.092988E-03
2.405236E+02, 2.100119E-03
2.405236E+02, 2.106719E-03
2.405236E+02, 2.112787E-03
2.405236E+02, 2.118321E-03
2.405236E+02, 2.123322E-03
2.405236E+02, 2.127789E-03
2.405236E+02, 2.131721E-03
2.405236E+02, 2.135119E-03
2.405236E+02, 2.137982E-03
2.405236E+02, 2.140312E-03
2.405236E+02, 2.142107E-03
2.405236E+02, 2.143370E-03
2.405236E+02, 2.144100E-03
2.405236E+02, 2.144298E-03
2.405236E+02, 2.143966E-03
2.405236E+02, 2.143104E-03
2.405236E+02, 2.141713E-03
2.405236E+02, 2.139794E-03
2.405235E+02, 2.137347E-03
2.405235E+02, 2.134374E-03
2.405235E+02, 2.130876E-03
2.405235E+02, 2.126853E-03
2.405235E+02, 2.122306E-03
2.405235E+02, 2.117235E-03
2.405235E+02, 2.111642E-03
2.405235E+02, 2.105526E-03
2.405235E+02, 2.098887E-03
2.405235E+02, 2.091727E-03
2.405235E+02, 2.084046E-03
2.405235E+02, 2.075842E-03
2.405235E+02, 2.067117E-03
2.405235E+02, 2.057870E-03
2.405235E+02, 2.048101E-03
2.405235E+02, 2.037811E-03
2.405235E+02, 2.026997E-03
2.405235E+02, 2.015661E-03
2.405235E+02, 2.003802E-03
2.405235E+02, 1.991420E-03
2.405235E+02, 1.978514E-03
2.405235E+02, 1.965084E-03
2.405235E+02, 1.951129E-03
2.405235E+02, 1.936650E-03
2.405235E+02, 1.921645E-03
2.405235E+02, 1.906115E-03
2.405235E+02, 1.890060E-03
2.405235E+02, 1.873480E-03
2.405235E+02, 1.856373E-03
2.405235E+02, 1.838741E-03
2.405235E+02, 1.820584E-03
2.405235E+02, 1.801902E-03
2.405235E+02, 1.782694E-03
2.405235E+02, 1.762962E-03
2.405235E+02, 1.742706E-03
2.405235E+02, 1.721927E-03
2.405235E+02, 1.700625E-03
2.405235E+02, 1.678801E-03
2.405235E+02, 1.656456E-03
2.405235E+02, 1.633598E-03
2.405235E+02, 1.609983E-03
2.405235E+02, 1.584546E-03
2.405235E+02, 1.555484E-03
2.405235E+02, 1.521667E-03
2.405235E+02, 1.484365E-03
2.405235E+02, 1.448528E-03
2.405235E+02, 1.423880E-03
2.405235E+02, 1.425845E-03
2.405235E+02, 1.476310E-03
2.405235E+02, 1.585403E-03
2.405232E+02, 1.528332E-03
2.405230E+02, 1.859073E-03
2.405225E+02, 2.014914E-03
2.405216E+02, 2.337386E-03
2.405204E+02, 2.925455E-03
2.405188E+02, 3.862768E-03
2.405168E+02, 5.238919E-03
2.405144E+02, 7.150686E-03
2.405114E+02, 9.701291E-03
2.405087E+02, 1.372950E-02
2.405061E+02, 1.860208E-02
2.405035E+02, 2.441206E-02
2.405011E+02, 3.126086E-02
2.404988E+02, 3.925724E-02
2.404966E+02, 4.851289E-02
2.404945E+02, 5.914116E-02
2.404925E+02, 7.125618E-02
2.404905E+02, 8.497199E-02
2.404886E+02, 1.004017E-01
2.404866E+02, 1.176568E-01
2.404845E+02, 1.368465E-01
2.404823E+02, 1.580772E-01
2.404799E+02, 1.814518E-01
2.404775E+02, 2.070694E-01
2.404748E+02, 2.350250E-01
2.404722E+02, 2.654089E-01
2.404695E+02, 2.983070E-01
2.404669E+02, 3.338000E-01
2.404644E+02, 3.719641E-01
2.404622E+02, 4.128705E-01
2.404604E+02, 4.565853E-01
2.404590E+02, 5.031704E-01
2.404581E+02, 5.526827E-01
2.404579E+02, 6.051749E-01
2.404583E+02, 6.606958E-01
2.404596E+02, 7.192899E-01
2.404616E+02, 7.809983E-01
2.404643E+02, 8.458587E-01
2.404679E+02, 9.139059E-01
2.404721E+02, 9.851717E-01
2.404770E+02, 1.059686E+00
2.404824E+02, 1.137475E+00
2.404883E+02, 1.218565E+00
2.404945E+02, 1.302979E+00
2.405010E+02, 1.390739E+00
2.405074E+02, 1.481867E+00
2.405138E+02, 1.576382E+00
2.405200E+02, 1.674302E+00
2.405258E+02, 1.775648E+00
2.405312E+02, 1.880436E+00
2.405360E+02, 1.988683E+00
2.405402E+02, 2.100417E+00
2.405438E+02, 2.215739E+00
2.405467E+02, 2.334733E+00
2.405489E+02, 2.457483E+00
2.405501E+02, 2.584074E+00
2.405505E+02, 2.714584E+00
2.405498E+02, 2.849083E+00
2.405481E+02, 2.987626E+00
2.405452E+02, 3.130257E+00
2.405411E+02, 3.276998E+00
2.405358E+02, 3.427857E+00
2.405294E+02, 3.582816E+00
2.405219E+02, 3.741839E+00
2.405136E+02, 3.904864E+00
2.405045E+02, 4.071806E+00
2.404949E+02, 4.242552E+00
2.404850E+02, 4.416965E+00
2.404753E+02, 4.594881E+00
2.404659E+02, 4.776108E+00
2.404573E+02, 4.960427E+00
2.404497E+02, 5.147593E+00
2.404435E+02, 5.337332E+00
2.404390E+02, 5.529345E+00
2.404364E+02, 5.723309E+00
2.404357E+02, 5.918878E+00
2.404369E+02, 6.115687E+00
2.404400E+02, 6.313362E+00
2.404445E+02, 6.511518E+00
2.404502E+02, 6.709762E+00
2.404566E+02, 6.907694E+00
2.404633E+02, 7.104907E+00
2.404697E+02, 7.300997E+00
2.404751E+02, 7.495564E+00
2.404790E+02, 7.688215E+00
2.404808E+02, 7.878569E+00
2.404803E+02, 8.066260E+00
2.404772E+02, 8.250941E+00
2.404716E+02, 8.432285E+00
2.404634E+02, 8.609987E+00
2.404529E+02, 8.783766E+00
2.404403E+02, 8.953364E+00
2.404262E+02, 9.118547E+00
2.404110E+02, 9.279105E+00
2.403952E+02, 9.434852E+00
2.403794E+02, 9.585627E+00
2.403643E+02, 9.731300E+00
2.403504E+02, 9.871764E+00
2.403382E+02, 1.000693E+01
2.403285E+02, 1.013673E+01
2.403217E+02, 1.026111E+01
2.403184E+02, 1.038003E+01
2.403190E+02, 1.049344E+01
2.403239E+02, 1.060133E+01
2.403329E+02, 1.070366E+01
2.403458E+02, 1.080043E+01
2.403622E+02, 1.089162E+01
2.403816E+02, 1.097721E+01
2.404031E+02, 1.105719E+01
2.404260E+02, 1.113153E+01
2.404491E+02, 1.120022E+01
2.404718E+02, 1.126323E+01
2.404931E+02, 1.132052E+01
2.405124E+02, 1.137206E+01
2.405293E+02, 1.141779E+01
2.405433E+02, 1.145766E+01
2.405544E+02, 1.149161E+01
2.405625E+02, 1.151956E+01
2.405679E+02, 1.154145E+01
2.405707E+02, 1.155719E+01
2.405714E+02, 1.156669E+01
2.405700E+02, 1.156987E+01
2.405665E+02, 1.156664E+01
2.405608E+02, 1.155693E+01
2.405529E+02, 1.154067E+01
2.405427E+02, 1.151781E+01
2.405304E+02, 1.148830E+01
2.405161E+02, 1.145211E+01
2.405000E+02, 1.140925E+01
2.404822E+02, 1.135971E+01
2.404630E+02, 1.130353E+01
2.404429E+02, 1.124074E+01
2.404223E+02, 1.117143E+01
2.404016E+02, 1.109567E+01
2.403813E+02, 1.101359E+01
2.403620E+02, 1.092532E+01
2.403440E+02, 1.083100E+01
2.403279E+02, 1.073074E+01
2.403141E+02, 1.062469E+01
2.403027E+02, 1.051302E+01
2.402941E+02, 1.039594E+01
2.402884E+02, 1.027368E+01
2.402856E+02, 1.014652E+01
2.402859E+02, 1.001475E+01
2.402893E+02, 9.878683E+00
2.402958E+02, 9.738676E+00
2.403052E+02, 9.595097E+00
2.403174E+02, 9.448334E+00
2.403320E+02, 9.298793E+00
2.403489E+02, 9.146890E+00
2.403676E+02, 8.993048E+00
2.403872E+02, 8.837674E+00
2.404071E+02, 8.681093E+00
2.404264E+02, 8.523625E+00
2.404442E+02, 8.365572E+00
2.404599E+02, 8.207214E+00
2.404726E+02, 8.048810E+00
2.404818E+02, 7.890599E+00
2.404873E+02, 7.732797E+00
2.404889E+02, 7.575601E+00
2.404867E+02, 7.419184E+00
2.404809E+02, 7.263701E+00
2.404719E+02, 7.109288E+00
2.404603E+02, 6.956062E+00
