A,B,C,D,E
-9.226246E-07,1.190021E+04,-1.242469E-01,0.000000E+00,7.700000E-01
-9.203017E-07,1.206410E+04,-1.242328E-01,0.000000E+00,7.800000E-01
-9.183810E-07,1.222799E+04,-1.242189E-01,0.000000E+00,7.900000E-01
-9.168715E-07,1.239188E+04,-1.242052E-01,0.000000E+00,8.000000E-01
-9.157851E-07,1.255576E+04,-1.241917E-01,0.000000E+00,8.100000E-01
-9.151259E-07,1.271965E+04,-1.241786E-01,0.000000E+00,8.200000E-01
-9.149004E-07,1.288354E+04,-1.241658E-01,0.000000E+00,8.300000E-01
-9.151088E-07,1.304743E+04,-1.241534E-01,0.000000E+00,8.400000E-01
-9.157536E-07,1.321132E+04,-1.241415E-01,0.000000E+00,8.500000E-01
-9.168309E-07,1.337521E+04,-1.241300E-01,0.000000E+00,8.600000E-01
-9.183401E-07,1.353910E+04,-1.241191E-01,0.000000E+00,8.700000E-01
-9.202746E-07,1.370299E+04,-1.241088E-01,0.000000E+00,8.800000E-01
-9.226310E-07,1.386687E+04,-1.240991E-01,0.000000E+00,8.900000E-01
-9.254010E-07,1.403076E+04,-1.240900E-01,0.000000E+00,9.000000E-01
-9.285793E-07,1.419465E+04,-1.240816E-01,0.000000E+00,9.100000E-01
-9.321553E-07,1.435854E+04,-1.240739E-01,0.000000E+00,9.200000E-01
-9.361232E-07,1.452243E+04,-1.240669E-01,0.000000E+00,9.300000E-01
-9.404717E-07,1.468632E+04,-1.240607E-01,0.000000E+00,9.400000E-01
-9.451939E-07,1.485021E+04,-1.240551E-01,0.000000E+00,9.500000E-01
-9.502778E-07,1.501409E+04,-1.240504E-01,0.000000E+00,9.600000E-01
-9.557160E-07,1.517798E+04,-1.240464E-01,0.000000E+00,9.700000E-01
-9.614967E-07,1.534187E+04,-1.240432E-01,0.000000E+00,9.800000E-01
-9.676132E-07,1.550576E+04,-1.240408E-01,0.000000E+00,9.900000E-01
-9.740528E-07,1.566965E+04,-1.240392E-01,0.000000E+00,1.000000E+00
-9.808090E-07,1.583354E+04,-1.240383E-01,0.000000E+00,1.010000E+00
-9.878695E-07,1.599743E+04,-1.240382E-01,0.000000E+00,1.020000E+00
-9.952282E-07,1.616132E+04,-1.240389E-01,0.000000E+00,1.030000E+00
-1.002872E-06,1.632520E+04,-1.240403E-01,0.000000E+00,1.040000E+00
-1.010795E-06,1.648909E+04,-1.240424E-01,0.000000E+00,1.050000E+00
-1.018986E-06,1.665298E+04,-1.240453E-01,0.000000E+00,1.060000E+00
-1.027440E-06,1.681687E+04,-1.240488E-01,0.000000E+00,1.070000E+00
-1.036144E-06,1.698076E+04,-1.240530E-01,0.000000E+00,1.080000E+00
-1.045092E-06,1.714465E+04,-1.240579E-01,0.000000E+00,1.090000E+00
-1.054272E-06,1.730854E+04,-1.240633E-01,0.000000E+00,1.100000E+00
-1.063679E-06,1.747243E+04,-1.240694E-01,0.000000E+00,1.110000E+00
-1.073299E-06,1.763631E+04,-1.240759E-01,0.000000E+00,1.120000E+00
-1.083127E-06,1.780020E+04,-1.240830E-01,0.000000E+00,1.130000E+00
-1.093150E-06,1.796409E+04,-1.240906E-01,0.000000E+00,1.140000E+00
-1.103362E-06,1.812798E+04,-1.240986E-01,0.000000E+00,1.150000E+00
-1.113748E-06,1.829187E+04,-1.241070E-01,0.000000E+00,1.160000E+00
-1.124303E-06,1.845576E+04,-1.241158E-01,0.000000E+00,1.170000E+00
-1.135011E-06,1.861965E+04,-1.241248E-01,0.000000E+00,1.180000E+00
-1.145866E-06,1.878353E+04,-1.241342E-01,0.000000E+00,1.190000E+00
-1.156851E-06,1.894742E+04,-1.241438E-01,0.000000E+00,1.200000E+00
-1.167960E-06,1.911131E+04,-1.241535E-01,0.000000E+00,1.210000E+00
-1.179176E-06,1.927520E+04,-1.241634E-01,0.000000E+00,1.220000E+00
-1.190491E-06,1.943909E+04,-1.241735E-01,0.000000E+00,1.230000E+00
-1.201886E-06,1.960298E+04,-1.241836E-01,0.000000E+00,1.240000E+00
-1.213354E-06,1.976687E+04,-1.241937E-01,0.000000E+00,1.250000E+00
-1.224874E-06,1.993076E+04,-1.242037E-01,0.000000E+00,1.260000E+00
-1.236439E-06,2.009464E+04,-1.242137E-01,0.000000E+00,1.270000E+00
-1.248029E-06,2.025853E+04,-1.242237E-01,0.000000E+00,1.280000E+00
-1.259634E-06,2.042242E+04,-1.242334E-01,0.000000E+00,1.290000E+00
-1.271234E-06,2.058631E+04,-1.242430E-01,0.000000E+00,1.300000E+00
-1.282819E-06,2.075020E+04,-1.242523E-01,0.000000E+00,1.310000E+00
-1.294369E-06,2.091409E+04,-1.242615E-01,0.000000E+00,1.320000E+00
-1.305874E-06,2.107798E+04,-1.242703E-01,0.000000E+00,1.330000E+00
-1.317313E-06,2.124187E+04,-1.242788E-01,0.000000E+00,1.340000E+00
-1.328677E-06,2.140575E+04,-1.242869E-01,0.000000E+00,1.350000E+00
-1.339944E-06,2.156964E+04,-1.242946E-01,0.000000E+00,1.360000E+00
-1.351106E-06,2.173353E+04,-1.243020E-01,0.000000E+00,1.370000E+00
-1.362142E-06,2.189742E+04,-1.243089E-01,0.000000E+00,1.380000E+00
-1.373043E-06,2.206131E+04,-1.243154E-01,0.000000E+00,1.390000E+00
-1.383788E-06,2.222520E+04,-1.243213E-01,0.000000E+00,1.400000E+00
-1.394371E-06,2.238909E+04,-1.243268E-01,0.000000E+00,1.410000E+00
-1.404770E-06,2.255298E+04,-1.243318E-01,0.000000E+00,1.420000E+00
